"Variable";"Lower";"Min";"Best";"Max";"Upper";"bestguess";"bounds";"direction";"is.problem";"base";"basin";"injection"
"asr.treatment.cost";"";"";"";"";"";"";"";"";"";"0";"0";"asr.treatment.cost.per.ml * asr.ml "
"asr.maintenance.cost";"";"";"";"";"";"";"";"";"";"0";"0";"asr.maintenance.rate * (asr.capital.cost.per.ml * asr.capacity.ml + asr.treatment.capital.cost)"
"overhead.cost";"";"";"";"";"";"";"";"";"";"total.overhead.cost*total.contrib.farm.income";"total.overhead.cost*total.contrib.farm.income";"total.overhead.cost*total.contrib.farm.income"
"price.per.yield";"";"";"";"";"";"";"";"";"";"c(
 cotton=538,
 faba.bean=348,
 cultivated.dryland=(348+244)/2
)";"c(
 cotton=538,
 faba.bean=348,
 cultivated.dryland=(348+244)/2
)";"c(
 cotton=538,
 faba.bean=348,
 cultivated.dryland=(348+244)/2
)"
"pump.cost";"";"";"";"";"";"";"";"";"";"pump.vol.ml*pump.cost.dollar.per.ml";"pump.vol.ml*pump.cost.dollar.per.ml";"pump.vol.ml*pump.cost.dollar.per.ml"
"pump.cost.dollar.per.ml";"6.25";"6.25";"35";"100";"100";"";"";"";"";"35";"35";"35"
"pump.vol.ml";"";"";"";"";"";"";"";"";"";"as.numeric(water.available[""groundwater""])";"as.numeric(water.available[""groundwater""]+(1-asr.loss.rate)*asr.ml)";"as.numeric(water.available[""groundwater""]+(1-asr.loss.rate)*asr.ml)"
"surface.evap.rate";"0";"0";"0.35";"0.5";"0.5";"";"";"";"";"0.35";"0.35";"0.35"
"surface.pump.cost";"";"";"";"";"";"";"";"";"";"total.surface.water*capture.pump.cost.dollar.per.ml.surface";"total.surface.water*capture.pump.cost.dollar.per.ml.mar";"total.surface.water*capture.pump.cost.dollar.per.ml.mar"
"temporary.storage.cost";"";"";"";"";"";"";"";"";"";"";" basin.cost.temp.storage.per.ml*asr.capacity.ml";"asr.cost.temp.storage.per.ml * asr.capacity.ml"
"total.contrib.farm.income";"";"";"";"";"";"";"";"";"";"c(cotton=56.9188118961194,faba.bean=28.4027025937631,cultivated.dryland=14.6784855101176)/100";"c(cotton=56.9188118961194,faba.bean=28.4027025937631,cultivated.dryland=14.6784855101176)/100";"c(cotton=56.9188118961194,faba.bean=28.4027025937631,cultivated.dryland=14.6784855101176)/100"
"total.farm.gross.margin";"";"";"";"";"";"";"";"";"";"land.used.ha*gross.margin.per.ha";"land.used.ha*gross.margin.per.ha";"land.used.ha*gross.margin.per.ha"
"total.land.used";"";"";"";"";"";"";"";"";"";"net.water.available/as.numeric(crop.water.requirement.ml.per.ha[""faba.bean""]+crop.water.requirement.ml.per.ha[""cotton""])";"net.water.available/as.numeric(crop.water.requirement.ml.per.ha[""faba.bean""]+crop.water.requirement.ml.per.ha[""cotton""])";"net.water.available/(crop.water.requirement.ml.per.ha[""faba.bean""]+crop.water.requirement.ml.per.ha[""cotton""])"
"total.overhead.cost";"";"";"";"";"";"";"";"";"";"173066";"173066";"173066"
"total.surface.water";"";"";"";"";"";"";"";"";"";"sum(water.available[c(""surface.regular.license.ml"",""supplementary"")])";"sum(water.available[c(""surface.regular.license.ml"",""supplementary"")])";"sum(water.available[c(""surface.regular.license.ml"",""supplementary"")])"
"variable.cost.per.ha";"";"";"";"";"";"";"";"";"";"c(
 cotton=2505+153.1, faba.bean=565,
 cultivated.dryland=224.6
)";"c(
 cotton=2505+153.1, 
 faba.bean=565,
 cultivated.dryland=224.6
)";"c(
 cotton=2505+153.1, 
 faba.bean=565,
 cultivated.dryland=224.6
)"
"water.applied.ml";"";"";"";"";"";"";"";"";"";"crop.water.requirement.ml.per.ha*land.used.ha";"crop.water.requirement.ml.per.ha*land.used.ha";"crop.water.requirement.ml.per.ha*land.used.ha"
"water.available";"";"";"";"";"";"";"";"";"";"c( surface.regular.license.ml=400, supplementary=water.available.supplementary, groundwater=750)";"c( surface.regular.license.ml=400, supplementary=water.available.supplementary, groundwater=750)";"c( surface.regular.license.ml=400, supplementary=water.available.supplementary, groundwater=750)"
"yield.per.ha";"";"";"";"";"";"";"";"";"";"c(
 cotton=9.5,
 faba.bean=5,
 cultivated.dryland=(1.4+1.8)/2
)";"c(
 cotton=9.5,
 faba.bean=5,
 cultivated.dryland=(1.4+1.8)/2
)";"c(
 cotton=9.5,
 faba.bean=5,
 cultivated.dryland=(1.4+1.8)/2
)"
"annualised.capital.cost";"";"";"";"";"";"";"";"";"";"function(C,r,t){annuity.factor = (1-1/(1+r)^t)/r;C/annuity.factor}";"function(C,r,t){annuity.factor = (1-1/(1+r)^t)/r;C/annuity.factor}";"function(C,r,t){annuity.factor = (1-1/(1+r)^t)/r;C/annuity.factor}"
"water.available.supplementary";"0";"0";"200";"800";"800";"";"";"";"";"200";"200";"200"
